pc alu_operand1 alu_operand2 write_address branch_stall next_pc branch_taken wb_result wb_mem_write wb_alu_to_reg wb_dest_reg_sel wb_branch wb_branch_nxt wb_mem_to_reg wb_read_address mem_alu_operation
 xxxxxxxx 00000010 xxxxxxxx xxxxxxxx 0 xxxxxxxx 0 xxxxxxxx x x xxxxx 0 0 x 00 xxx
00000000 00000010 ffffffe0 fffffff0 0 00000004 0 xxxxxxxx x x 00010 0 0 0 00 000
00000004 00000010 00000004 0000002c 0 00000008 0 fffffff0 0 1 11100 0 0 0 00 010
00000008 00000010 00000020 00000030 0 0000000c 0 00000004 1 0 01000 0 0 0 00 000
0000000c 00000010 00000064 00000074 0 00000010 0 00000030 0 1 01111 0 0 0 00 000
00000010 00000010 00000004 fffffffc 0 00000014 0 00000074 0 1 01100 0 0 0 00 010
00000014 00000010 00000002 00000012 0 00000018 0 00000004 1 0 01111 0 0 0 00 000
00000018 00000010 00000004 fffffff8 0 0000001c 0 00000012 0 1 01000 0 0 0 00 010
0000001c 00000010 ffffffec fffffffc 0 00000020 0 00000004 1 0 01110 0 0 1 00 010
00000020 00000010 ffffffe8 fffffff8 0 00000024 0 xxxxxxxx 0 1 01111 0 0 1 00 010
00000024 00000010 00000004 00000010 0 00000028 0 xxxxxxxx 0 1 01111 0 0 0 00 000
00000028 00000010 00000004 fffffff4 0 0000002c 0 00000014 0 1 00100 0 0 0 00 010
0000002c 00000010 ffffffe4 fffffff4 0 00000030 0 00000004 1 0 01111 0 0 1 00 010
00000030 00000010 00000000 00000010 0 00000034 0 xxxxxxxx 0 1 01010 0 0 0 00 000
00000034 00000010 0000001c 0000002c 0 00000038 0 00000010 0 1 01000 0 0 1 00 010
00000038 00000010 00000020 00000030 0 0000003c 0 xxxxxxxx 0 1 00010 0 0 0 00 000
0000003c 00000010 00000000 00000010 0 00000010 1 00000030 0 1 00000 0 0 0 00 000
00000040 00000010 00000004 00000010 0 00000044 0 00000040 0 1 00000 1 1 0 00 000
00000040 00000010 00000004 00000010 0 00000044 0 xxxxxxxx 0 0 00000 0 0 0 00 000
00000040 00000010 00000004 00000010 0 00000044 0 xxxxxxxx 0 0 00000 0 0 0 00 000
