inst_fetch_pc_o | wb_stall_o | wb_stall_first_o | wb_stall_second_o | wb_write_address_o | wb_write_data_o | wb_write_byte_o | wb_read_data_o | inst_mem_address_o | inst_mem_is_ready_o
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
00000000xxxxxxxx | 000000000x | 000000000000000x | 00000000000000000 | 000000000000000000 | 000000000000000 | 000000000000000 | 000000xxxxxxxx | 000000000xxxxxxxx | 000000000000000001
00000000xxxxxxxx | 000000000x | 0000000000000000 | 0000000000000000x | 000000000000000000 | 000000000000000 | 000000000000000 | 000000xxxxxxxx | 00000000000000000 | 000000000000000001
0000000000000000 | 0000000000 | 0000000000000000 | 00000000000000000 | 000000000000000000 | 000000000000000 | 000000000000000 | 000000fffffff0 | 00000000000000004 | 000000000000000001
0000000000000004 | 0000000000 | 0000000000000000 | 00000000000000000 | 000000000000000000 | 000000000000000 | 000000000000000 | 00000000000004 | 00000000000000008 | 000000000000000001
0000000000000008 | 0000000000 | 0000000000000000 | 00000000000000000 | 000000000000000030 | 000000020202020 | 000000000000001 | 00000000000030 | 0000000000000000c | 000000000000000001
000000000000000c | 0000000000 | 0000000000000000 | 00000000000000000 | 000000000000000030 | 000000020202020 | 000000000000001 | 00000000000074 | 00000000000000010 | 000000000000000001
0000000000000010 | 0000000000 | 0000000000000000 | 00000000000000000 | 000000000000000030 | 000000020202020 | 000000000000001 | 00000000000004 | 00000000000000014 | 000000000000000001
0000000000000014 | 0000000000 | 0000000000000000 | 00000000000000000 | 000000000000000012 | 000000002020202 | 000000000000100 | 00000000000012 | 00000000000000018 | 000000000000000001
0000000000000018 | 0000000000 | 0000000000000000 | 00000000000000000 | 000000000000000012 | 000000002020202 | 000000000000100 | 00000000000004 | 0000000000000001c | 000000000000000001
000000000000001c | 0000000000 | 0000000000000000 | 00000000000000000 | 0000000000fffffffc | 0000000ecececec | 000000000000001 | 000000xxxxxxxx | 00000000000000020 | 000000000000000001
0000000000000020 | 0000000000 | 0000000000000000 | 00000000000000000 | 0000000000fffffffc | 0000000ecececec | 000000000000001 | 000000xxxxxxxx | 00000000000000024 | 000000000000000001
0000000000000024 | 0000000000 | 0000000000000000 | 00000000000000000 | 0000000000fffffffc | 0000000ecececec | 000000000000001 | 00000000000014 | 00000000000000028 | 000000000000000001
0000000000000028 | 0000000000 | 0000000000000000 | 00000000000000000 | 0000000000fffffffc | 0000000ecececec | 000000000000001 | 00000000000004 | 0000000000000002c | 000000000000000001
000000000000002c | 0000000000 | 0000000000000000 | 00000000000000000 | 0000000000fffffff4 | 0000000e4e4e4e4 | 000000000000001 | 000000xxxxxxxx | 00000000000000030 | 000000000000000001
0000000000000030 | 0000000000 | 0000000000000000 | 00000000000000000 | 0000000000fffffff4 | 0000000e4e4e4e4 | 000000000000001 | 00000000000010 | 00000000000000034 | 000000000000000001
0000000000000034 | 0000000000 | 0000000000000000 | 00000000000000000 | 0000000000fffffff4 | 0000000e4e4e4e4 | 000000000000001 | 000000xxxxxxxx | 00000000000000038 | 000000000000000001
0000000000000038 | 0000000000 | 0000000000000000 | 00000000000000000 | 0000000000fffffff4 | 0000000e4e4e4e4 | 000000000000001 | 00000000000030 | 0000000000000003c | 000000000000000001
000000000000003c | 0000000000 | 0000000000000000 | 00000000000000000 | 0000000000fffffff4 | 0000000e4e4e4e4 | 000000000000001 | 00000000000040 | 00000000000000040 | 000000000000000001
0000000000000040 | 0000000001 | 0000000000000001 | 00000000000000000 | 0000000000fffffff4 | 0000000e4e4e4e4 | 000000000000001 | 000000xxxxxxxx | 00000000000000040 | 000000000000000001
0000000000000040 | 0000000001 | 0000000000000000 | 00000000000000001 | 0000000000fffffff4 | 0000000e4e4e4e4 | 000000000000001 | 000000xxxxxxxx | 00000000000000040 | 000000000000000001
